date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-05-25,sh.600276,44.6000,45.9600,44.6000,45.6700,949080,43090940.0000,3,0.127412,1,2.399100,51.831455,12.375194,10.435739,404.649424,0
2010-05-26,sh.600276,45.4800,45.6700,44.3000,44.5200,699867,31284919.0000,3,0.093956,1,-2.518100,50.526305,12.063578,10.172961,394.460091,0
2010-05-27,sh.600276,44.2700,45.9800,43.2500,45.5600,841560,37791666.0000,3,0.112977,1,2.336000,51.706614,12.345387,10.410604,403.674792,0
2010-05-28,sh.600276,45.5300,46.9000,45.5300,46.7000,1039774,48400498.0000,3,0.139587,1,2.502200,53.000415,12.654292,10.671097,413.775523,0
2010-05-31,sh.600276,46.7900,48.3600,45.5900,45.6800,1436494,67831967.0000,3,0.192846,1,-2.184200,51.842804,12.377903,10.438024,404.738027,0
2010-06-01,sh.600276,45.6800,46.7800,44.5000,44.9800,1327980,59947391.0000,3,0.178278,1,-1.532400,51.048365,12.188224,10.278072,398.535824,0
2010-06-02,sh.600276,44.8000,45.3000,43.5600,44.2000,1364709,60381358.0000,3,0.183209,1,-1.734100,50.163133,11.976868,10.099840,391.624799,0
2010-06-03,sh.600276,44.3000,45.6000,44.3000,44.8000,1240365,55887704.0000,3,0.166516,1,1.357500,50.844081,12.139450,10.236941,396.940972,0
2010-06-04,sh.600276,44.6500,47.2500,44.4000,46.9200,1877876,86666306.0000,3,0.252100,1,4.732100,53.250095,12.713906,10.721368,415.724786,0
2010-06-07,sh.600276,46.2500,49.6000,46.2000,49.0400,3238492,158229998.0000,3,0.434760,1,4.518300,55.656110,13.288362,11.205795,434.508600,0
2010-06-08,sh.600276,48.8800,50.9600,48.1600,49.2500,1146176,57047501.0000,3,0.153871,1,0.428200,55.894442,13.345266,11.253780,436.369261,0
2010-06-09,sh.600276,49.0500,50.3500,49.0500,50.0300,1147432,57322027.0000,3,0.154040,1,1.583754,56.779673,13.556622,11.432013,443.280287,0
2010-06-10,sh.600276,50.1000,50.3600,49.5000,50.1300,1025634,51071018.0000,3,0.137689,1,0.199900,56.893165,13.583719,11.454863,444.166316,0
2010-06-11,sh.600276,49.9900,50.4700,48.0000,49.0000,2470597,120740144.0000,3,0.331672,1,-2.254100,55.610713,13.277523,11.196655,434.154189,0
2010-06-17,sh.600276,49.0000,49.0000,44.4000,45.0900,7475178,344004992.0000,3,1.003525,1,-7.979600,51.173205,12.218031,10.303207,399.510456,0
2010-06-18,sh.600276,44.8000,44.8000,42.5100,43.4100,7511119,325265033.0000,3,1.008350,1,-3.725900,49.266552,11.762802,9.919322,384.625170,0
2010-06-21,sh.600276,43.0000,43.4000,42.0500,43.0500,4925467,210203778.0000,3,0.661232,1,-0.829300,48.857984,11.665252,9.837061,381.435466,0
2010-06-22,sh.600276,43.1000,43.8500,42.7500,43.2900,3795521,164450296.0000,3,0.509540,1,0.557500,49.130363,11.730285,9.891902,383.561935,0
2010-06-23,sh.600276,43.2500,43.3500,41.8000,41.9800,4171620,177716760.0000,3,0.560030,1,-3.026100,47.643628,11.375315,9.592563,371.954956,0
